"Barahona_acteon" "Barahona_vertumno" "Bocangel_leandro" "Carrillo_acis" "Cetina_amorpsique" "Espinosa_genil" "Gongora_piramotisbe" "Gongora_polifemo" "Hurtadodemendoza_fabulaadonis" "Jauregui_orfeo" "Lope_andromeda" "Lope_circe" "Lope_filomenaprimera" "Lope_filomenasegunda" "Lope_rosa" "Montalban_orfeo" "Polo_fabapolodafne" "Polo_fabpansiringa" "Quevedo_apolo" "Soto_fragmentosadonis" "Soto_rayosfaeton" "Villamediana_apolodafne" "Villamediana_europa" "Villamediana_faeton" "Villamediana_fenix"
"voz" 0.0212539851222104 0 0.11090573012939 0.304321363359708 0 0.130039011703511 0.0897263346792284 0.0925354719309068 0.114003420102603 0.636802810715854 0.141271442986882 0.105187664355726 0.275197798417613 0.362854455046365 0.109130592942888 0.152129817444219 0.0316656111462951 0.0591016548463357 0 0.173812282734647 0.26525198938992 0.295498001042934 0.173611111111111 0.152973994420948 0.237449118046133
"luz" 0 0.0723065798987708 0.184842883548983 0.0608642726719416 0 0.130039011703511 0.0897263346792284 0.185070943861814 0 0.0988142292490119 0.0807265388496468 0.0908438919435812 0.0687994496044032 0.120951485015455 0.272826482357221 0.177484787018256 0 0 0.384615384615385 0.140705181261381 0.297403745679608 0.695289414218669 0.198412698412698 0.638891388463961 0.305291723202171
"para" 0.276301806588735 0.506146059291396 0.0924214417744917 0.0608642726719416 0.114876507754164 0.130039011703511 0.0448631673396142 0.0616903146206046 0.0190005700171005 0.0329380764163373 0.141271442986882 0.282094190772173 0.206398348813209 0.295659185593334 0.236449618042925 0.312711291413117 0.253324889170361 0.295508274231678 0.192307692307692 0.215196159576229 0.152720842376015 0.0695289414218669 0.223214285714286 0.0719877620804463 0.305291723202171
"mar" 0.0212539851222104 0 0.591497227356747 0.243457090687766 0.0574382538770821 0.0650195058517555 0.0448631673396142 0.370141887723627 0.152004560136804 0.043917435221783 0.443995963673057 0.430313172364332 0.343997248022016 0.0806343233436366 0.163695889414332 0.101419878296146 0 0.118203309692671 0 0.0248303261049495 0.136644964231171 0.0347644707109334 0.322420634920635 0.134977053900837 0.067842605156038
"una" 0.255047821466525 0.216919739696312 0.0924214417744917 0.304321363359708 0.746697300402068 0.325097529258778 0.179452669358457 0.370141887723627 0.247007410222307 0.0548967940272288 0.24217961654894 0.186469041357877 0.0687994496044032 0.120951485015455 0.272826482357221 0.109871534820825 0.696643445218493 0.295508274231678 0.384615384615385 0.289687137891078 0.217024354955389 0.0521467060664001 0.0744047619047619 0.0719877620804463 0.033921302578019
"pues" 0.318809776833156 0.253073029645698 0.055452865064695 0.182592818015825 0.114876507754164 0.0650195058517555 0.134589502018843 0.0925354719309068 0.0950028500855026 0.0988142292490119 0.221997981836529 0.167344011475018 0.252264648549478 0.295659185593334 0.218261185885777 0.236646382691007 0.474984167194427 0.295508274231678 0.384615384615385 0.099321304419798 0.160758781448437 0.173822353554667 0.198412698412698 0.0719877620804463 0.237449118046133
"fue" 0.318809776833156 0.506146059291396 0.166358595194085 0.121728545343883 0.114876507754164 0.0650195058517555 0.314042171377299 0.246761258482418 0.209006270188106 0.230566534914361 0.201816347124117 0.153000239062874 0.171998624011008 0.228463916140304 0.472899236085849 0.202839756592292 0.0316656111462951 0.0591016548463357 0 0.0579374275782155 0.0241138172172655 0.1564401181992 0.148809523809524 0.161972464681004 0.135685210312076
"yo" 0.53134962805526 0.216919739696312 0.0369685767097967 0.0608642726719416 0.0574382538770821 0.0650195058517555 0.0448631673396142 0 0.285008550256508 0.043917435221783 0.262361251261352 0.320344250537891 0.206398348813209 0.24190297003091 0.0727537286285922 0.278904665314402 0.696643445218493 0.650118203309693 0 0.016553550736633 0.0321517562896873 0.0173822353554667 0 0.00899847026005579 0
"donde" 0.0637619553666312 0.108459869848156 0.166358595194085 0.182592818015825 0.172314761631246 0.325097529258778 0.0897263346792284 0.123380629241209 0.0760022800684021 0.186649099692578 0.100908173562059 0.176906526416448 0.194931773879142 0.201585808359092 0.145507457257184 0.126774847870183 0 0.0591016548463357 0 0.107598079788115 0.096455268869062 0.365026942464801 0.27281746031746 0.251957167281562 0.440976933514247
"qué" 0.233793836344315 0.361532899493854 0.129390018484288 0.121728545343883 0 0.0650195058517555 0.0448631673396142 0.0308451573103023 0.228006840205206 0.0109793588054458 0.282542885973764 0.258187903418599 0.263731223483545 0.268781077812122 0.218261185885777 0.185936443542934 0.443318556048132 0.0591016548463357 0.192307692307692 0.066214202946532 0.128607025158749 0.0347644707109334 0.173611111111111 0.0719877620804463 0.033921302578019
"ser" 0.191285866099894 0.216919739696312 0.147874306839187 0.304321363359708 0 0.0650195058517555 0.179452669358457 0.0925354719309068 0.171005130153905 0.142731664470795 0.100908173562059 0.172125268945733 0.240798073615411 0.215024862249698 0.163695889414332 0.14367816091954 0.379987333755542 0.236406619385343 0.192307692307692 0.0744909783148485 0.104493207941484 0.1564401181992 0.148809523809524 0.224961756501395 0.033921302578019
"dulce" 0.0212539851222104 0.108459869848156 0.0369685767097967 0.182592818015825 0.0574382538770821 0.195058517555267 0.134589502018843 0.339296730413325 0.0950028500855026 0.164690382081686 0.0605449041372351 0.11953143676787 0.103199174406605 0.335976347265153 0.0909421607857403 0.278904665314402 0 0 0 0.322794239364344 0.152720842376015 0.191204588910134 0.223214285714286 0.0269954107801674 0.237449118046133
"bien" 0.170031880977683 0.253073029645698 0.129390018484288 0.304321363359708 0.229753015508329 0 0.269179004037685 0.277606415792721 0.0950028500855026 0.164690382081686 0.141271442986882 0.157781496533588 0.126132324274739 0.161268646687273 0.127319025100036 0.21974306964165 0.284990500316656 0 0.192307692307692 0.140705181261381 0.112531147013906 0.208586824265601 0.0744047619047619 0.0809862323405021 0.237449118046133
"aunque" 0.255047821466525 0.253073029645698 0.0739371534195934 0 0.114876507754164 0.0650195058517555 0.0897263346792284 0.185070943861814 0.114003420102603 0.0658761528326746 0.201816347124117 0.186469041357877 0.137598899208806 0.215024862249698 0.181884321571481 0.21974306964165 0.316656111462951 0.236406619385343 0 0.289687137891078 0.0401896953621092 0.0521467060664001 0.0992063492063492 0.0539908215603347 0.101763907734057
"cielo" 0.0850159404888417 0.144613159797542 0.184842883548983 0.365185636031649 0.229753015508329 0 0.0448631673396142 0.0925354719309068 0.114003420102603 0.0548967940272288 0.262361251261352 0.138656466650729 0.160532049076941 0.0940733772342427 0.254638050200073 0.126774847870183 0.0316656111462951 0 0 0.132428405893064 0.128607025158749 0.1042934121328 0.347222222222222 0.314946459101953 0.169606512890095
"porque" 0.212539851222104 0.325379609544469 0.295748613678373 0 0.114876507754164 0.0650195058517555 0 0 0.0950028500855026 0.120772946859903 0.24217961654894 0.153000239062874 0.217864923747277 0.134390538906061 0.181884321571481 0.177484787018256 0.411652944901837 0.177304964539007 0 0.231749710312862 0.0643035125793747 0.0869111767773336 0.0992063492063492 0.0359938810402232 0.135685210312076
"así" 0.403825717321998 0.253073029645698 0.147874306839187 0.486914181375533 0.172314761631246 0.455136540962289 0 0.0616903146206046 0.152004560136804 0.208607817303469 0.141271442986882 0.138656466650729 0.126132324274739 0.215024862249698 0.127319025100036 0.228194726166329 0.158328055731476 0.295508274231678 0 0.157258731998014 0.0723414516517965 0.0173822353554667 0.0496031746031746 0.0179969405201116 0
"tanto" 0.148777895855473 0.216919739696312 0.184842883548983 0.0608642726719416 0.287191269385411 0.195058517555267 0.0897263346792284 0.185070943861814 0.114003420102603 0.153711023276241 0.161453077699294 0.133875209180014 0.126132324274739 0.161268646687273 0.109130592942888 0.169033130493577 0.0633312222925903 0.177304964539007 0.192307692307692 0.16553550736633 0.184872598665702 0.173822353554667 0.0744047619047619 0.0809862323405021 0.101763907734057
"dos" 0.191285866099894 0 0.147874306839187 0.0608642726719416 0.229753015508329 0.0650195058517555 0.493494840735756 0.246761258482418 0.038001140034201 0.0329380764163373 0.141271442986882 0.157781496533588 0.217864923747277 0.0268781077812122 0.272826482357221 0.101419878296146 0.0633312222925903 0.295508274231678 0.384615384615385 0.157258731998014 0.104493207941484 0.173822353554667 0.148809523809524 0.044992351300279 0.101763907734057
"oh" 0.0850159404888417 0.0361532899493854 0.203327171903882 0.0608642726719416 0.172314761631246 0.195058517555267 0.224315836698071 0.123380629241209 0.0570017100513015 0.164690382081686 0.0201816347124117 0.191250298828592 0.126132324274739 0.228463916140304 0.236449618042925 0.0760649087221095 0.0949968334388854 0 0 0.173812282734647 0.096455268869062 0.139057882843734 0.148809523809524 0.0269954107801674 0.101763907734057
"oro" 0.0425079702444208 0.108459869848156 0.11090573012939 0.243457090687766 0.0574382538770821 0.325097529258778 0.0448631673396142 0.185070943861814 0.171005130153905 0.0219587176108915 0.24217961654894 0.133875209180014 0.149065474142874 0.107512431124849 0.309203346671517 0.126774847870183 0.0633312222925903 0 0 0.082767753683165 0.144682903303593 0.225969059621067 0.0992063492063492 0.0989831728606137 0.135685210312076
"son" 0.0212539851222104 0 0.129390018484288 0.0608642726719416 0.287191269385411 0.195058517555267 0.134589502018843 0.246761258482418 0.038001140034201 0.120772946859903 0.0201816347124117 0.0525938321778628 0.194931773879142 0.201585808359092 0.181884321571481 0.0676132521974307 0.189993666877771 0.0591016548463357 0 0.157258731998014 0.249176111245077 0.139057882843734 0.148809523809524 0.143975524160893 0.067842605156038
"fuego" 0.0637619553666312 0.0361532899493854 0.11090573012939 0.182592818015825 0.172314761631246 0.325097529258778 0 0.0616903146206046 0.0570017100513015 0.142731664470795 0.0403632694248234 0.114750179297155 0.114665749340672 0.0403171616718183 0.0545652964714442 0.202839756592292 0 0 0.192307692307692 0.049660652209899 0.208986415882968 0.312880236398401 0.173611111111111 0.143975524160893 0.407055630936228
"ojos" 0.0850159404888417 0 0.11090573012939 0.243457090687766 0.0574382538770821 0.0650195058517555 0.134589502018843 0.154225786551511 0.114003420102603 0.120772946859903 0.181634712411705 0.11953143676787 0.240798073615411 0.0671952694530305 0.0545652964714442 0.177484787018256 0.253324889170361 0.177304964539007 0.192307692307692 0.157258731998014 0.0884173297966401 0.1564401181992 0.124007936507937 0.0719877620804463 0.033921302578019
"alma" 0.0850159404888417 0 0.203327171903882 0 0.0574382538770821 0 0.0897263346792284 0 0.038001140034201 0.109793588054458 0.12108980827447 0.181687783887162 0.217864923747277 0.147829592796667 0.0909421607857403 0.28735632183908 0.0633312222925903 0.177304964539007 0 0.115874855156431 0.0723414516517965 0.0695289414218669 0.124007936507937 0.0539908215603347 0.067842605156038
"viento" 0.127523910733262 0.0361532899493854 0.147874306839187 0.486914181375533 0.0574382538770821 0.195058517555267 0 0.185070943861814 0.133003990119704 0.131752305665349 0.201816347124117 0.0908438919435812 0.0687994496044032 0.0268781077812122 0.0727537286285922 0.0676132521974307 0 0 0.384615384615385 0.148981956629697 0.120569086086327 0.173822353554667 0.198412698412698 0.197966345721227 0.237449118046133
