pos_bigram,count
SYM_ADJ,1
ADP_SYM,1
PUNCT_PRON,1
NOUN_PUNCT,1
INTJ_AUX,1
SYM_VERB,1
DET_SYM,1
NUM_INTJ,1
PART_VERB,1
DET_PART,1
SYM_PRON,1
CCONJ_SYM,1
PUNCT_SCONJ,1
SCONJ_PUNCT,1
INTJ_NUM,1
SYM_ADP,1
NOUN_SYM,1
PUNCT_AUX,1
DET_PUNCT,1
PUNCT_CCONJ,1
