entity,count
Llegóse,1
Césares,1
Venus bella,1
qué Baldos,1
procedía,1
quedó,1
Pidióle,1
¿Qué Bártulos,1
Reina de Troya,1
Airada Juno,1
Apolos,1
Palas llegó,1
artificio raro,1
llegó Naturaleza,1
Reñían,1
Safo,1
¡Qué,1
Teolesila,1
bárbaro condena,1
Salve,1
Amarílida bella,1
sileno,1
Juana,1
Febo el Occidente dora,1
Nicteo,1
Cilenio,1
alemán Vulcano,1
despedíme llorosa,1
Neso,1
Tántalos,1
Prendióme,1
Elisa,1
Rimas,1
llegó del Lete,1
Pasando,1
Pelayo,1
Escilas,1
Centauros,1
Caliginoso,1
Volví,1
adulación quisiera,1
Venus juzgó,1
Cantó,1
Lipso,1
Durancio,1
Pongan,1
Turnebo,1
fingió,1
Gelio,1
Proserpina bella,1
Saturno,1
tórtola cobarde,1
Lloróla,1
Eriteo,1
Garcerán,1
Diose,1
Eurídice suspira,1
Hemo,1
Vino del Helicón,1
Didimeo,1
Luso,1
“Dulce,1
abuelo santo,1
Ricardo,1
paró,1
Ricardo al Saladino,1
Sol parió,1
Vivo,1
Isidro,1
Gregorio Hernández,1
Boscán,1
Lasso,1
Parténope,1
Mantüano,1
Antígenes,1
Frasidemo,1
Viendo Aristeo,1
Francisco Gutiérrez!,1
Lucrecia,1
qué vitoria,1
Sanazaro heredas,1
Pedro Liñán,1
Enmudeció,1
Verás,1
Talía,1
tus aras,1
Deja Febo,1
Icario,1
Castalia,1
Venciste,1
Logra,1
Tesoros de Pomona,1
Ofendidos,1
Blanca,1
dulce suspensión,1
Éste,1
Abría Flora,1
Júpiter Apolo,1
Cloto,1
Hesperias,1
Berbería,1
Numa,1
Estaba Dafne,1
bello imán,1
Perdone,1
Faró,1
También Tritón,1
Trémula,1
Admirando,1
Cileno,1
Clavel,1
Parca,1
Arme,1
Baste,1
Cocito,1
Helicona,1
Filosofía,1
Dureza,1
Despareció,1
poseo,1
Símbolo,1
Deme,1
eterno,1
Muévate,1
Vaso,1
Osa,1
Aguila,1
Arde,1
Lira,1
