word,count
de,6629
que,5834
la,5346
el,5326
en,4175
su,2021
los,1997
al,1898
no,1889
con,1803
del,1764
las,1761
se,1394
por,1330
le,958
más,896
si,859
ya,814
es,758
sus,719
