filename,title,author,pos_trigram,count
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_NOUN_CCONJ,5
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",CCONJ_ADJ_VERB,5
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADJ_VERB_PRON,3
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",PRON_VERB_VERB,22
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_VERB_VERB,3
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_VERB_ADP,19
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_ADP_NOUN,35
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_NOUN_ADJ,34
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADJ_ADJ,8
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADJ_ADJ_ADP,8
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADJ_ADP_NOUN,22
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_NOUN_ADP,30
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_PROPN,13
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_PROPN_ADP,6
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",PROPN_ADP_DET,6
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_PRON_ADP,14
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_PRON_NOUN,3
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",PRON_NOUN_AUX,1
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_AUX_VERB,6
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",AUX_VERB_ADV,6
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_ADV_ADP,8
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADV_ADP_ADV,2
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_ADV_SCONJ,2
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADV_SCONJ_NOUN,3
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",SCONJ_NOUN_ADJ,2
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_VERB_DET,19
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_DET_ADP,1
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_ADP_PRON,2
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_PRON_PRON,23
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_CCONJ_SCONJ,8
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",CCONJ_SCONJ_VERB,2
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",SCONJ_VERB_VERB,3
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_VERB_ADV,3
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_ADV_DET,10
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADV_DET_NOUN,23
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_CCONJ_DET,21
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",CCONJ_DET_NOUN,29
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_VERB_ADP,22
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_NOUN_DET,27
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_DET_ADP,1
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_PRON_ADP,13
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADV_VERB,13
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADV_VERB_NOUN,4
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_NOUN_ADP,11
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_ADV,5
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_ADV_ADJ,6
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADV_ADJ_CCONJ,9
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",PRON_PRON_DET,2
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",PRON_DET_ADJ,1
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",DET_ADJ_NOUN,25
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADJ_NOUN_ADP,14
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_NOUN_PROPN,7
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_PROPN_CCONJ,4
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",PROPN_CCONJ_NOUN,3
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",CCONJ_NOUN_ADV,4
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_ADP_DET,43
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",PRON_ADP_NOUN,14
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",ADP_NOUN_VERB,18
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",NOUN_VERB_VERB,9
Barahona_acteon.xml,Fábula de Acteón,"Barahona de Soto, Luis",VERB_VERB_DET,14
